TEAM_ABBR,Restricted_Area_FGM,Restricted_Area_FGA,Restricted_Area_FG_PCT,In_The_Paint_Non_RA_FGM,In_The_Paint_Non_RA_FGA,In_The_Paint_Non_RA_FG_PCT,Mid_Range_FGM,Mid_Range_FGA,Mid_Range_FG_PCT,Left_Corner_3_FGM,Left_Corner_3_FGA,Left_Corner_3_FG_PCT,Right_Corner_3_FGM,Right_Corner_3_FGA,Right_Corner_3_FG_PCT,Above_the_Break_3_FGM,Above_the_Break_3_FGA,Above_the_Break_3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT,SEASON,SEASON_TYPE
OKC,19.4,31.0,0.625,8.2,19.4,0.423,3.4,8.1,0.418,1.7,4.4,0.388,1.2,2.9,0.41,9.2,26.6,0.347,0.0,0.1,0.0,2022-23,Regular Season
ORL,18.1,27.0,0.669,7.0,16.3,0.427,4.7,11.9,0.399,1.6,3.8,0.415,1.2,3.0,0.398,8.0,24.2,0.33,0.0,0.1,0.0,2022-23,Regular Season
PHI,16.6,25.5,0.653,7.3,16.3,0.447,4.3,9.4,0.454,1.7,4.6,0.376,1.9,4.5,0.425,9.0,23.4,0.385,0.0,0.2,0.0,2022-23,Regular Season
PHX,13.7,20.8,0.655,9.4,21.0,0.447,6.9,15.7,0.438,2.4,5.4,0.449,1.7,4.4,0.386,8.1,22.7,0.357,0.0,0.2,0.0,2022-23,Regular Season
POR,18.5,28.6,0.648,5.3,12.8,0.417,3.7,8.8,0.425,1.3,3.7,0.346,1.5,4.1,0.375,10.1,27.4,0.368,0.0,0.1,0.0,2022-23,Regular Season
SAC,18.5,26.6,0.695,7.7,16.1,0.477,3.7,8.2,0.447,2.0,4.9,0.406,1.5,3.9,0.384,10.2,28.3,0.361,0.0,0.1,0.0,2022-23,Regular Season
SAS,18.8,29.0,0.646,9.0,21.0,0.431,4.2,10.4,0.401,1.5,3.9,0.385,1.2,3.3,0.357,8.4,24.7,0.34,0.0,0.2,0.0,2022-23,Regular Season
TOR,17.7,26.8,0.662,8.7,20.3,0.429,4.7,12.3,0.385,1.7,4.5,0.375,1.5,4.4,0.35,7.5,22.8,0.327,0.0,0.3,0.0,2022-23,Regular Season
UTA,16.8,25.0,0.672,9.8,20.7,0.472,2.6,6.4,0.409,1.7,4.1,0.415,1.9,4.7,0.409,9.7,28.7,0.337,0.0,0.2,0.0,2022-23,Regular Season
WAS,17.3,24.0,0.72,8.3,19.2,0.432,5.3,12.0,0.442,1.7,4.2,0.41,1.2,3.1,0.385,8.3,24.2,0.343,0.0,0.2,0.125,2022-23,Regular Season
ATL,14.5,24.3,0.596,9.0,21.2,0.425,6.5,13.5,0.481,2.0,4.8,0.414,1.3,2.8,0.471,10.7,29.5,0.362,0.0,0.2,0.0,2022-23,Playoffs
BOS,16.2,23.4,0.692,7.6,16.6,0.456,3.1,7.0,0.446,2.3,4.4,0.517,1.4,4.2,0.333,10.4,29.9,0.348,0.0,0.3,0.0,2022-23,Playoffs
BKN,11.8,18.5,0.635,6.0,14.0,0.429,5.0,10.3,0.488,1.3,4.8,0.263,1.3,3.8,0.333,8.8,25.8,0.34,0.0,0.3,0.0,2022-23,Playoffs
CLE,14.8,22.4,0.661,6.8,16.2,0.42,3.6,9.2,0.391,1.0,3.8,0.263,2.0,5.0,0.4,7.0,21.6,0.324,0.0,0.2,0.0,2022-23,Playoffs
DEN,15.4,22.6,0.681,10.6,22.1,0.477,5.1,11.3,0.451,1.4,4.0,0.35,1.2,3.1,0.387,8.7,22.6,0.383,0.0,0.3,0.0,2022-23,Playoffs
GSW,14.4,21.5,0.668,7.8,18.1,0.434,5.2,11.5,0.456,1.6,4.1,0.396,1.8,4.3,0.429,11.0,34.1,0.323,0.0,0.1,0.0,2022-23,Playoffs
,15.4,24.4,0.631,9.6,20.4,0.471,3.6,10.0,0.36,1.4,4.4,0.318,0.4,1.8,0.222,10.4,27.2,0.382,0.0,0.4,0.0,2022-23,Playoffs
LAL,15.5,23.1,0.672,9.9,20.8,0.479,5.5,13.1,0.421,1.1,3.4,0.327,1.4,3.3,0.434,7.5,23.3,0.322,0.1,0.2,0.333,2022-23,Playoffs
MEM,16.2,27.5,0.588,8.3,23.0,0.362,1.8,6.3,0.289,1.5,6.3,0.237,1.7,4.5,0.37,8.8,27.3,0.323,0.0,0.3,0.0,2022-23,Playoffs
MIA,14.0,22.0,0.638,7.5,18.6,0.403,5.4,12.6,0.431,1.9,4.5,0.427,1.7,4.3,0.384,9.2,24.7,0.373,0.0,0.1,0.0,2022-23,Playoffs
MIL,16.0,23.2,0.69,7.6,16.4,0.463,4.8,11.8,0.407,3.2,6.6,0.485,1.6,5.2,0.308,10.8,29.2,0.37,0.0,0.2,0.0,2022-23,Playoffs
MIN,16.4,25.8,0.636,8.0,17.4,0.46,2.2,7.2,0.306,2.6,6.0,0.433,1.2,4.0,0.3,7.4,22.0,0.336,0.0,0.2,0.0,2022-23,Playoffs
NYK,14.0,23.3,0.602,7.5,14.5,0.519,4.2,10.8,0.387,1.4,4.8,0.283,2.3,6.5,0.352,5.9,21.5,0.275,0.0,0.1,0.0,2022-23,Playoffs
PHI,12.5,21.5,0.585,7.5,17.9,0.421,4.5,10.7,0.415,1.8,5.3,0.345,2.2,4.6,0.471,8.2,23.9,0.342,0.0,0.1,0.0,2022-23,Playoffs
PHX,10.5,14.8,0.706,12.7,24.4,0.522,10.5,21.8,0.483,1.7,5.1,0.339,1.0,3.3,0.306,6.6,17.4,0.382,0.0,0.1,0.0,2022-23,Playoffs
SAC,13.1,19.9,0.662,11.0,25.0,0.44,4.7,11.0,0.429,1.9,5.7,0.325,1.0,4.3,0.233,9.3,29.4,0.316,0.0,0.3,0.0,2022-23,Playoffs
ATL,16.9,27.1,0.623,8.2,18.7,0.44,4.2,9.0,0.468,2.1,5.9,0.36,1.9,4.7,0.404,9.7,26.9,0.36,0.0,0.2,0.0,2023-24,Regular Season
BOS,16.9,24.1,0.703,6.6,14.6,0.454,3.9,9.1,0.431,1.9,4.6,0.421,2.1,4.7,0.439,12.5,33.0,0.377,0.0,0.1,0.091,2023-24,Regular Season
BKN,16.9,26.2,0.645,6.9,16.9,0.407,3.6,9.3,0.386,2.1,5.0,0.424,2.0,5.0,0.399,9.1,26.4,0.346,0.0,0.3,0.043,2023-24,Regular Season
CHA,17.2,26.4,0.652,6.7,16.1,0.417,4.0,10.5,0.382,1.5,4.4,0.347,1.3,3.5,0.379,9.2,25.9,0.356,0.0,0.3,0.0,2023-24,Regular Season
CHI,17.0,27.3,0.622,7.2,15.6,0.464,6.4,14.6,0.437,1.8,4.7,0.393,1.7,4.5,0.377,7.9,22.7,0.349,0.0,0.1,0.0,2023-24,Regular Season
CLE,18.0,27.4,0.658,7.0,16.0,0.438,3.2,6.9,0.462,1.7,4.8,0.36,1.7,4.4,0.382,10.1,27.5,0.368,0.0,0.1,0.091,2023-24,Regular Season
DAL,16.7,23.6,0.707,7.0,15.3,0.459,4.8,11.2,0.428,2.1,5.9,0.347,2.0,5.3,0.38,10.5,28.1,0.374,0.0,0.2,0.0,2023-24,Regular Season
DEN,18.6,28.6,0.651,8.1,16.7,0.488,5.6,12.3,0.455,1.5,4.3,0.361,1.4,3.5,0.413,8.7,23.2,0.376,0.0,0.3,0.0,2023-24,Regular Season
DET,17.0,26.3,0.644,8.0,18.8,0.428,4.9,11.4,0.426,1.4,4.4,0.314,1.9,4.6,0.407,7.8,22.5,0.347,0.0,0.3,0.0,2023-24,Regular Season
GSW,16.1,22.9,0.703,8.2,18.6,0.441,4.6,11.3,0.41,1.3,3.7,0.361,1.3,3.1,0.417,12.1,31.9,0.38,0.0,0.2,0.067,2023-24,Regular Season
HOU,18.0,28.1,0.64,7.0,16.8,0.416,4.1,9.9,0.412,1.2,3.2,0.38,1.4,3.3,0.408,10.1,29.3,0.346,0.0,0.3,0.0,2023-24,Regular Season
IND,20.5,29.9,0.685,8.5,18.0,0.473,4.9,9.6,0.505,1.6,4.0,0.395,2.0,4.6,0.421,9.6,26.4,0.365,0.0,0.1,0.0,2023-24,Regular Season
,16.6,24.8,0.67,8.6,17.9,0.482,4.5,10.9,0.414,1.9,4.5,0.418,1.7,4.2,0.401,9.0,24.3,0.372,0.0,0.1,0.0,2023-24,Regular Season
LAL,20.6,28.5,0.724,7.2,17.3,0.418,4.0,10.4,0.386,1.8,4.6,0.398,1.4,3.7,0.373,8.6,22.8,0.376,0.0,0.2,0.0,2023-24,Regular Season
MEM,15.4,25.5,0.606,7.6,18.6,0.408,2.3,6.3,0.362,1.9,5.3,0.355,1.5,4.5,0.342,9.7,27.8,0.348,0.0,0.3,0.0,2023-24,Regular Season
MIA,13.5,21.4,0.634,10.0,20.7,0.486,3.8,9.9,0.38,2.1,5.2,0.402,1.9,4.9,0.383,8.5,23.5,0.362,0.0,0.1,0.0,2023-24,Regular Season
MIL,18.0,25.4,0.708,5.6,13.1,0.428,5.4,12.0,0.45,2.0,4.8,0.407,2.2,5.3,0.416,10.0,27.8,0.36,0.0,0.1,0.0,2023-24,Regular Season
MIN,17.5,26.0,0.675,7.9,18.1,0.433,3.2,8.2,0.391,2.1,5.1,0.408,1.8,4.4,0.409,8.7,22.9,0.381,0.0,0.2,0.059,2023-24,Regular Season
NOP,17.6,26.7,0.659,8.1,18.3,0.441,4.4,9.8,0.445,1.7,4.1,0.429,2.1,5.0,0.424,8.6,23.4,0.37,0.0,0.3,0.045,2023-24,Regular Season
NYK,16.2,25.7,0.631,8.2,18.0,0.459,3.6,9.2,0.392,2.1,5.4,0.39,2.0,4.8,0.425,9.0,25.5,0.355,0.0,0.1,0.125,2023-24,Regular Season
OKC,18.1,26.8,0.675,8.2,17.5,0.468,5.0,10.9,0.46,2.2,5.3,0.423,1.4,3.5,0.399,9.6,25.3,0.381,0.0,0.1,0.0,2023-24,Regular Season
ORL,19.6,29.1,0.672,6.3,15.0,0.421,3.6,9.5,0.376,1.7,4.6,0.37,1.4,4.0,0.364,7.9,22.6,0.349,0.0,0.2,0.0,2023-24,Regular Season
PHI,17.7,28.0,0.631,7.5,17.9,0.42,4.2,10.2,0.416,1.5,3.8,0.387,1.5,3.7,0.407,9.1,25.7,0.354,0.0,0.1,0.0,2023-24,Regular Season
PHX,15.6,23.1,0.675,7.9,16.7,0.474,6.6,13.8,0.474,1.9,4.5,0.424,1.5,3.8,0.384,9.0,24.2,0.374,0.0,0.0,0.0,2023-24,Regular Season
POR,16.6,27.4,0.604,6.9,18.2,0.377,4.5,10.9,0.412,1.6,4.4,0.364,1.5,4.0,0.369,8.4,24.6,0.34,0.0,0.1,0.0,2023-24,Regular Season
